start	end	text
195340	199880	americane, si trovò nell'impossibilità di effettuare chiamate long distance,
200300	204540	quelle che noi conosciamo come interurbane. Inizialmente si pensò ad un accheraggio,
205040	209500	successivamente però ci si rese conto che la AT&T, circa un mese prima,
209500	215400	aveva effettuato alcune modifiche sui propri sistemi per rincrementarne le performance e la
215400	221360	velocità. Questo incremento di velocità però aveva portato a destabilizzare il sistema di
221360	225800	bilanciamento del carico tra gli switch, causando il blocco a cascata di tutti e
225800	233300	114 gli switch disponibili. Le perdite estimate per AT&T furono di circa 60 milioni di dollari.
238560	246400	Nel 1994 fu invece il turno di Intel. La nota società produttrice di processori lanciò
246400	251880	sul mercato una linea di Pentium che risentiva di un problema nel calcolo delle operazioni
251880	257040	matematiche che coinvolgevano i numeri in virgola mobile. In pratica c'era la
257040	263140	possibilità di sbagliare il calcolo della decima cifra dopo la virgola. Dopo l'insurrezione
263140	269580	dei consumatori, la Intel si offri di sostituire tutti i processori a coloro che ne avessero
269580	277820	fatto richiesta. Così il costo totale dell'operazione ammontò a circa 475 milioni di dollari.
281880	289480	Nel 1996 invece l'ESA, l'agenzia spaziale europea, riuscì a battere il record del
290540	296780	Il responsabile a terra fu infatti costretto a premere il tasto di autodistruzione in ben
296780	304540	36 secondi dal lancio. Il software di controllo di volo dell'Aerion 5 infatti tentò di convertire
304540	311000	un numero in virgola mobile a 64 bit in un intero a 16 bit causando il crash del computer
311000	316340	principale e di quello di riserva che era perfettamente identico e montava lo stesso
316340	324900	software. Il costo per lo sviluppo del razzo era stato di 8 miliardi di dollari e inoltre
324900	329780	esso portava con sé come carico un satellite del valore di 500 milioni di dollari.
336000	342620	1998, di nuovo protagonista alla NASA. Il Mars Climate Orbiter era una sonda progettata
342620	348080	per studiare il clima e l'atmosfera di Marte. Questa sonda avrebbe dovuto appunto orbitare
348080	353020	attorno al pianeta rosso ma si schiantò sulla sua superficie poiché tentò di orbitare
353020	358380	troppo in basso. Dalle indagini venne fuori che il problema fu banalmente dovuto ad
358380	363760	un errore di conversione tra il sistema inglese e quello metrico decimale. A montare
363760	366340	del danno 125 milioni di dollari.
371640	379660	2004, Regno Unito. Due agenzie governative, il Child Support Agency e il Department of
379660	385640	Work and Pensions, decisero di ristrutturare contemporaneamente i propri sistemi informatici.
386940	392380	I software che ne risultarono furono talmente incompatibili da causare milioni di transazioni
392380	398180	errate sia in eccesso che in difetto, riscossioni non effettuate e rallentamenti burocratici.
399500	403420	Il costo per i contribuenti inglesi ammonto a un miliardo di dollari.
408600	415080	Nell'agosto del 2009, una Lexus ES 350 si schiantò a oltre 150 miglia orarie
415080	419660	causando la morte di quattro persone. Prima dell'incidente, uno dei passeggeri
419660	424340	chiamò il 911 dicendo che l'auto era priva di freni e senza controllo.
425240	430200	A novembre dello stesso anno, la Toyota dovette richiamare nove milioni di auto da tutto il
430200	433980	mondo per correggere un bug nel software del sistema antibloccaggio dei freni.
434960	439700	Il costo totale stimato per l'operazione fu di oltre 3 miliardi di dollari.
444900	450340	Nell'agosto del 2012, in Knight Capital Group, una delle più grandi società americane di
450340	456240	servizi finanziari, inviò in automatico una serie di ordini di acquisto in contemporanea
456240	459220	invece che nell'arco di giornico, siccome era stato previsto.
459840	463480	Le perdite di questa operazione furono di ben 4 volte superiori ai guadagni.
464660	469660	L'errore fu causato da un server all'interno della farm che non era stato aggiornato e
469660	472020	pertanto eseguiva del codice obsoleto.
473440	478500	Nell'arco di due giorni, le azioni della società persano ben il 75% e il totale delle
478500	481940	perdite stimate fu di 440 milioni di dollari.
487500	492220	Con questo siamo arrivati alla fine della nostra lista dei 10 bug più costosi
492220	493460	della storia.
493500	498180	Come abbiamo visto, anche dei minimi errori possono provocare danni enormi.
498180	504400	Spero che l'episodio vi sia piaciuto e come al solito vi invito a lasciare un commento
504400	511000	per farmi sapere cosa vi è piaciuto, cosa no e se magari conoscete voi dei bug
511000	513580	che ho dimenticato di inserire in questa lista.
514380	519220	Per ora vi saluto e ci sentiamo al prossimo episodio di Pensieri in Codice.
528180	531500	Sottotitoli creati dalla comunità Amara.org
