start	end	text
995960	1003000	un'ottima cosa. Riflettendoci un po' più a fondo però la notizia è anche piuttosto preoccupante.
1003000	1009880	Questa sorta di indagine del Washington Post ha suscitato più di una perplessità perché in
1009880	1015480	effetti ha fatto emergere un meccanismo di sorveglianza di massa da parte di grandi nomi come
1015480	1022520	Google o Apple che è in piedi ormai danni e se in generale la sorveglianza di massa non è mai
1022520	1028760	una buona idea è ancora peggio quando è messa in atto da soggetti privati, tanto per cominciare
1028760	1035080	finché la tecnica dell'individuazione tramite notifiche push viene utilizzata dalle forze
1035080	1042520	dell'ordine dei governi democratici diciamo che potrebbe ancora andarci bene, ma il problema come
1042520	1049000	sempre nasce quando questi meccanismi sono nelle mani di entità diversamente democratiche,
1049000	1054840	oltretutto noi magari oggi possiamo essere d'accordo con chi è al potere ma ciò non
1054840	1061480	implica che lo saremo sicuramente anche domani e la presenza di un meccanismo così pervasivo
1061480	1067720	per scovare le persone potrebbe diventare un grosso problema. Si a Google che Apple hanno
1067720	1074680	dichiarato che se fino ad ora non lo facevano già per il futuro pretenderanno sempre un'ingiunzione
1074680	1080760	del tribunale per effettuare questo tipo di controlli sui dati dei propri utenti, ma come ben
1080760	1088000	sappiamo questa è una blanda rassicurazione, a centrare tante informazioni in un unico punto le
1088000	1093840	rende molto desiderabili da parte di chi pensa di poterne ricavare vantaggio o addirittura
1093840	1101200	profitto sia legalmente che illegalmente. Inoltre Google o Apple o qualsiasi altra società non
1101200	1107720	sono entità monolitiche ma sono fatte di migliaia di persone, il fatto che un'azienda dichiari di
1107720	1113800	tenere al sicuro dei dati non implica necessariamente che ogni singola persona al suo interno non
1113800	1120520	possa decidere di fare qualcosa di stupido con quei dati. In tutto questo comunque noi
1120520	1125880	utenti non possiamo fare praticamente più nulla per evitare di essere sottoposti a questa
1125880	1135120	sorveglianza passiva, se non iniziare a rifiutare ogni tipo di notifica futura e magari scegliere
1135120	1142040	dispositivi privi di notifiche push con però tutti gli svantaggi del caso. Al momento infatti
1142040	1149320	esistono degli smartphone con sistemi operativi open source e senza servizi Google o Apple ma
1149320	1155160	difficilmente possono essere pensati per un uso da parte di chiunque perché hanno delle limitazioni
1155160	1161520	e richiedono che l'utente abbia un minimo di competenza senza contare che poi le notifiche push
1161520	1168400	sono molto comode e utili e in ogni caso una misura del genere non risolverebbe nemmeno il problema
1168400	1175120	in toto ma solo per le app esiti che utilizzeremo in futuro per quelle già autorizzate ormai il
1175120	1181920	danno è fatto. Se anche infatti disattivassimo totalmente le notifiche push questo non ci assicurerebbe
1181920	1187240	la rimozione degli identificativi e la completa disconnessione dei vari servizi già registrati
1187240	1194160	né tanto meno il mancato in via delle notifiche da parte di questi ultimi. In tal caso infatti il
1194160	1200600	flusso di notifica si interromperebbe una volta arrivato sul server push non a monte sul server
1200680	1206680	perchè origina i dati e ce li spedisce cuidisci. Quindi noi non vedremmo le notifiche ma saremmo
1206680	1214080	comunque individuabili esattamente come se le ricevessimo normalmente. Per capirci riprendendo
1214080	1220720	l'esempio di prima se disattivassimo le notifiche di whatsapp il server dell'app di messa gistica potrebbe
1220720	1226840	continuare a mandare notifiche ai server di google e apple e sarebbero poi questi ultimi a non
1226840	1233480	recapitarli al nostro dispositivo pur però continuando a ricevere tutte le informazioni necessarie
1233480	1240800	per identificarci. Insomma, come affermato già un anno fa da parte dell'esperto di privacy David LeBow
1240800	1248880	in un articolo piuttosto interessante sull'argomento le notifiche push sono un incubo per la privacy.
1248880	1251320	Trovi sempre il link in descrizione.
1251320	1260800	Ma è proprio impossibile difendersi da questo sistema di sorveglianza di massa?
1260800	1268600	Beh, guardando all'esempio di Threema, in verità no, qualcosa si può fare. Threema è un app di
1268600	1275360	messaggistica svizzera che pone particolare enfasi sul rispetto della privacy e della sicurezza dei
1275360	1283120	propri utenti. I suoi sviluppatori al corrente già da tempo del problema delle notifiche push
1283120	1290760	hanno deciso di implementare per la propria app un sistema di notifiche push ad hoc utilizzando
1290760	1298240	dei server propri e senza appoggiarsi a quelli dei giganti di big tech. In tal modo l'azienda ha
1298240	1304120	il pieno controllo su tutti gli aspetti delle notifiche e dall'archivazione alla codifica
1304120	1310640	e tutte le informazioni vengono protette da intrusioni esterne. Nel caso te lo stessi chiedendo,
1310640	1316680	questo non vuol dire che l'app è diventata il ritrovo di criminali e terroristi perché il fatto
1316680	1322000	di tenere al sicuro i dati da occhi indiscreti non vuol dire non collaborare con le forze
1322000	1328080	dell'ordine quando richiesto. Vuol dire solo decentralizzare le informazioni e fare in modo
1328080	1336240	che esse non siano alla merce di chiunque. In pratica anche se l'app 3 ma gira su piattaforme
1336240	1343480	come pc windows o smartphone android, il fatto che la comunicazione avvenga tramite i server
1343480	1350160	privati dell'azienda permette di non utilizzare i push token nei codici argomento di google o di
1350160	1357400	microsoft. In tal modo la comunicazione è protetta e sottratta alla sorveglianza di massa. Se
1357400	1363480	anche qualcuno entrasse in possesso delle informazioni di 3 ma infatti, al massimo potrebbe arrivare a
1363480	1370560	conoscere l'account 3 ma dell'utente e i dati in possesso dell'azienda, ma non li potrebbe collegare
1370560	1376600	ad altre informazioni su altre app utilizzate da questa persona o installate sul suo dispositivo.
1376600	1383760	Il concetto in pratica è quello di separare i flussi delle notifiche push. Se ogni app utilizzasse
1383760	1390840	il proprio server push, tutte le informazioni resterebbero separate e raccoglierle a strascio,
1390840	1397120	sarebbe molto più complicato per chi non è autorizzato a farlo. Purtroppo a causa delle
1397120	1404880	restrizioni apple tutto questo discorso per ora non è applicabile su iphone, ma il caso 3 ma
1404880	1412480	resta comunque un esempio virtuoso, che se seguito da tanti sarebbe un'ottima soluzione per migliorare
1412480	1422840	la protezione della privacy di tutti i noi utenti. Prima di concludere l'episodio ho già un piccolo
1422840	1429680	annuncio da fare, se usi google podcast spero saprai che l'app sta per essere dismessa e a breve
1429680	1436120	entrerà a far parte del famigerato cimitero di google, quindi ti consiglio di passare ad altre
1436120	1444280	app, trovi pensieri in codice su tutte le migliori app di podcast o su youtube music se sei particolarmente
1444280	1450360	affezionato ai prodotti google. Detto questo ti ricordo che ormai da qualche mese pensieri in
1450360	1455560	codice aderisce prenderà la filosofia value for value, il che vuol dire che non sentirai
1455560	1462280	pubblicità e non sarà tracciato o tracciata, le tue informazioni non saranno distribuite in giro,
1462280	1470920	ma tu puoi scegliere liberamente se è come restituire il valore che senti di ottenere da questo progetto. In
1470920	1478920	pratica, se ti dispiacerebbe se pensieri in codice non ci fosse, se per te questo podcast ha un
1478920	1488720	valore e quanto grande lo decidi tu, puoi scegliere di ricompensarlo con una delle 3 t, time, talent o treasure.
1488720	1496720	Cosa vuol dire? Vuol dire che io mi impegno a portare avanti il progetto al meglio delle mie possibilità e tu in
1496720	1503960	cambio puoi dedicare un po' del tuo tempo, ad esempio puoi parlarne e farlo ascoltare a qualcuno che
1503960	1510600	pensi che possa apprezzarlo, puoi scrivere una recensione su itunes o su qualche altro servizio,
1510600	1517000	puoi citarlo nei tuoi contenuti etc. oppure puoi mettere al servizio il tuo talento,
1517000	1523720	sai programmare, puoi aiutare con i servizi e gli automatismi o a sistemare qualche parte del
1523720	1529720	sito, sai gestire i social, puoi farti carico di uno o più aspetti collegati alla diffusione,
1529720	1536720	o puoi cimentarti con qualsiasi altro talento, proponi direttamente tu cosa. Ad esempio in questi
1536720	1542080	giorni Francesco e Antonio mi hanno aiutato tantissimo, il primo con la creazione delle
1542080	1547960	trascrizioni e delle locandine e il secondo sviluppando automatismi per la pubblicazione di
1547960	1555520	news nel gruppo telegram. E infine la terza attista per treasure, cioè puoi fare una donazione che
1555520	1561480	aiuti a coprire le spese che un progetto del genere porta, che non sono poche se pensi che
1561480	1566920	spazziano dai costi delle attrezzature dei servizi fino al mio impegno in termini di tempo.
1566920	1573360	E a questo proposito un grande ringraziamento va come sempre ad Eduardo e Carlo che se non
1573360	1578680	sbaglio a breve arriveranno a due anni come donatori fissi. Grazie ragazzi.
1578680	1585880	E niente, il sito pensierincodice.it ormai lo conosci e ci trovi tutte le informazioni che
1585880	1591440	ti possono servire se vuoi scrivermi, unirti alla community, fare donazioni, etc. Noi ci
1591440	1598800	sentiamo al prossimo episodio e tu non dimenticare mai che un informatico risolve problemi a volte
1598800	1600280	anche usando il computer.
